ORDER_ID,CUSTOMER_ID,ORDER_DATE,SHIPPING_DATE,PRODUCT_ID,NAME,GENDER,STREET_ADDRESS,CITY,POSTAL_CODE,COUNTRY
2205,11,03/31/2017,04/01/2017,1005,Sudhir Abbogottu,Male,10276 Brooks St,San Francisco,94105,US
2206,9,01/24/2017,01/31/2017,1005,Viraj Shakur,Female,69734 E Carrillo St,Warren,37110,US
2208,12,03/10/2017,03/14/2017,1007,Allison Willis,Female,1 Washington St,Palm Beach,33461,US
2210,11,04/10/2017,04/16/2017,1001,Sudhir Abbogottu,Male,10276 Brooks St,San Francisco,94105,US
2211,2,09/07/2017,09/13/2017,1006,Jeanne Fitzgerald,Female,4 B Blue Ridge Blvd,Livingston,48116,US
2213,7,06/26/2017,06/30/2017,1007,Lakshmi Rohanna,Female,25 E 75th St,Los Angeles,90034,US
2214,9,06/16/2017,06/17/2017,1006,Viraj Shakur,Female,69734 E Carrillo St,Warren,37110,US
2215,12,03/15/2017,03/17/2017,1003,Allison Willis,Female,1 Washington St,Palm Beach,33461,US
2216,1,12/11/2017,12/18/2017,1005,Kathy Martin,Female,6649 N Blue Gum St,New Orleans,70116,US
2217,11,08/18/2017,08/22/2017,1001,Sudhir Abbogottu,Male,10276 Brooks St,San Francisco,94105,US
2218,6,01/05/2017,01/06/2017,1005,Edith Bunker,Female,2335 Canton Hwy #6,Windsor,N8N 3N2,CA
2219,7,04/23/2017,04/26/2017,1001,Lakshmi Rohanna,Female,25 E 75th St,Los Angeles,90034,US
2220,6,09/25/2017,09/28/2017,1001,Edith Bunker,Female,2335 Canton Hwy #6,Windsor,N8N 3N2,CA
2221,11,04/09/2017,04/12/2017,1005,Sudhir Abbogottu,Male,10276 Brooks St,San Francisco,94105,US
2222,3,11/18/2017,11/24/2017,1007,Samantha Powers,Female,8 W Cerritos Ave #54,Gloucester,08014,US
2223,9,08/06/2017,08/08/2017,1002,Viraj Shakur,Female,69734 E Carrillo St,Warren,37110,US
